"","Code","Revised.Intervention.Name","Country","adjusted_uc","pin_sum","total_cost","pin_sum_adjusted","total_cost_adjusted","increment","Super_region","NCD_region","SDI","World_bank","iso3","period","life_years_gained","deaths_averted","ICER","ICER_rank"
"1","C31","Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs","Afghanistan",12.5791069820058,79596.1902330251,1001248.99230131,493626.29156098,6209377.93067634,5208128.93837504,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",371.448499999983,148.654999999968,14021.1333155882,25
"2","C47","Exercise-based pulmonary rehabilitation for patients with obstructive lung disease","Afghanistan",17.296272100258,24768.6582577098,428405.452783649,57211.395944357,989543.871489193,561138.418705544,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",3530.36450000001,1321.77299999998,158.946312400757,11
"3","FLH13","Early detection and treatment of early-stage cervical cancer","Afghanistan",71.5109364003799,990.134203835504,70805.4240783215,2699.28392924855,193028.321391061,122222.897312739,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",261.842000000104,86.835999999986,466.781102010719,15
"4","FLH20","Management of acute coronary syndromes with aspirin, unfractionated heparin, and generic thrombolytics (when indicated)","Afghanistan",12.4601166528019,12030.8971637202,149906.382097817,42356.4558075327,527766.380361104,377859.998263287,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",54195.3974999989,20107.165,6.97217874014661,5
"5","FLH22.1","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Afghanistan",21.2848942638448,34443.7778624105,733132.169848767,79254.7009666571,1686927.92998794,953795.76013917,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",6654.27450000127,2491.607,143.335800189636,10
"6","FLH22.2","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy","Afghanistan",21.2848942638448,125952.990540006,2680896.08585907,290978.32754091,6193442.93477867,3512546.8489196,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",7529.80900000015,2605.35399999998,466.485517616653,14
"7","FLH23","Medical management of acute heart failure","Afghanistan",10.4878715920393,10933.4989466905,114669.133004587,39200.8594856216,411133.580582777,296464.44757819,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",65127.4205000001,24151.753,4.55206801224669,3
"8","FLH24","Management of bowel obstruction","Afghanistan",27.8098086001477,548.233314357291,15246.2635405009,3444.30259051038,95785.3958030867,80539.1322625858,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",1102.79600000058,208.295999999977,73.0317595117711,9
"9","FLH31","Appendectomy","Afghanistan",27.8098086001477,17630.174160172,490291.768981655,109017.091831495,3031744.4579786,2541452.68899695,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",359.276999999622,122.121999999987,7073.79734577951,20
"10","FLH37","Hernia repair including emergency surgery","Afghanistan",27.8098086001477,1492.08325225862,41494.5496607982,9522.76933224046,264826.392472964,223331.842812166,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",14.907500000073,5.8389999999948,14981.1734235165,26
"11","FLH44","Repair of perforations (for example, perforated peptic ulcer, typhoid ileal perforation)","Afghanistan",27.8098086001477,660.933778567412,18380.4418793322,7353.91466353266,204510.959254663,186130.517375331,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",550.310999999981,188.941999999991,338.227870014114,13
"12","HC18","Opportunistic screening for cervical cancer using visual inspection or HPV DNA testing and treatment of precancerous lesions with cryotherapy","Afghanistan",65.5516917003483,1025740.87644802,67239049.6973656,2820353.75812578,184878960.03858,117639910.341214,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",481.577500000186,159.694999999987,244280.329419811,31
"13","HC36","Long-term combination therapy for persons with multiple CVD risk factors, including screening for CVD in community settings using non-lab-based tools to assess overall CVD risk","Afghanistan",46.6089750182226,23199.5132447815,1081305.53326095,79730.6604573728,3716164.36144407,2634858.82818313,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",88099.0130000011,32715.582,29.9079267571714,7
"14","HC37.1","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Afghanistan",53.4612046735246,123486.682095326,6601746.78595271,284157.471238824,15191400.72941,8589653.94345726,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",5952.05550000034,2228.58499999999,1443.14076766535,16
"15","HC37.2","Low-dose inhaled corticosteroids and bronchodilators for asthma and for selected patients with COPD","Afghanistan",53.4612046735246,932985.115111155,49878508.1963093,2155379.87890077,115229204.855111,65350696.6588016,"South Asia","South Asia","Low SDI","LIC","AFG","2020-2030",5976.53600000201,2067.85399999999,10934.5441337222,22
