measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Solomon Islands,Male,Age-standardized,Major depressive disorder,Rate,2017,307.293869243,424.272918994,212.157638482
YLDs (Years Lived with Disability),Solomon Islands,Female,Age-standardized,Major depressive disorder,Rate,2017,345.122132428,471.241930145,238.21048533299998
YLDs (Years Lived with Disability),Solomon Islands,Male,Age-standardized,Bipolar disorder,Rate,2017,85.88871321469999,129.80964988099998,52.8773059433
YLDs (Years Lived with Disability),Solomon Islands,Female,Age-standardized,Bipolar disorder,Rate,2017,84.35642154,124.26384536600001,52.897899945
YLDs (Years Lived with Disability),Gabon,Male,Age-standardized,Schizophrenia,Rate,2017,113.263633103,143.97957652099998,82.8126115308
YLDs (Years Lived with Disability),Gabon,Female,Age-standardized,Schizophrenia,Rate,2017,110.47823913699999,140.060235924,80.73476884530001
YLDs (Years Lived with Disability),Gabon,Male,Age-standardized,Alcohol use disorders,Rate,2017,182.97165252,255.39793035,122.897691696
YLDs (Years Lived with Disability),Gabon,Female,Age-standardized,Alcohol use disorders,Rate,2017,103.89268139800001,144.757721355,71.5876546732
YLDs (Years Lived with Disability),Cambodia,Male,Age-standardized,Major depressive disorder,Rate,2017,280.294087506,384.576870381,193.755933897
YLDs (Years Lived with Disability),Cambodia,Female,Age-standardized,Major depressive disorder,Rate,2017,325.50373692,445.05833752100006,225.574159049
YLDs (Years Lived with Disability),Cambodia,Male,Age-standardized,Bipolar disorder,Rate,2017,101.415426642,150.393689252,62.6605999909
YLDs (Years Lived with Disability),Cambodia,Female,Age-standardized,Bipolar disorder,Rate,2017,101.95660156699999,152.521900374,63.6934458329
YLDs (Years Lived with Disability),Iceland,Male,Age-standardized,Schizophrenia,Rate,2017,157.944500291,200.070753198,116.190101167
YLDs (Years Lived with Disability),Iceland,Female,Age-standardized,Schizophrenia,Rate,2017,145.045346468,182.51475615200002,107.139696136
YLDs (Years Lived with Disability),Iceland,Male,Age-standardized,Alcohol use disorders,Rate,2017,167.059788785,236.38781408699998,112.913536906
YLDs (Years Lived with Disability),Iceland,Female,Age-standardized,Alcohol use disorders,Rate,2017,61.6967393857,87.3124550343,40.9126772051
YLDs (Years Lived with Disability),Iceland,Male,Age-standardized,Major depressive disorder,Rate,2017,243.482526485,336.180766651,169.487544568
YLDs (Years Lived with Disability),Iceland,Female,Age-standardized,Major depressive disorder,Rate,2017,453.949659575,619.5885169530001,317.809427779
YLDs (Years Lived with Disability),Iceland,Male,Age-standardized,Bipolar disorder,Rate,2017,164.92879629799998,247.079569236,102.07640192299999
YLDs (Years Lived with Disability),Iceland,Female,Age-standardized,Bipolar disorder,Rate,2017,202.575488834,299.51010126200003,127.105223129
YLDs (Years Lived with Disability),Gabon,Male,Age-standardized,Major depressive disorder,Rate,2017,536.485728197,733.4296339839999,378.415091421
YLDs (Years Lived with Disability),Gabon,Female,Age-standardized,Major depressive disorder,Rate,2017,623.752185066,845.731397854,430.38056836900006
YLDs (Years Lived with Disability),Gabon,Male,Age-standardized,Bipolar disorder,Rate,2017,121.351172753,182.287472665,76.8022640482
YLDs (Years Lived with Disability),Gabon,Female,Age-standardized,Bipolar disorder,Rate,2017,131.088852416,197.220475763,82.5709004278
YLDs (Years Lived with Disability),Turkey,Male,Age-standardized,Schizophrenia,Rate,2017,136.84190618600002,173.69497227099998,100.66804443000001
YLDs (Years Lived with Disability),Turkey,Female,Age-standardized,Schizophrenia,Rate,2017,128.360627898,161.22640343,96.3084010306
YLDs (Years Lived with Disability),Turkey,Male,Age-standardized,Alcohol use disorders,Rate,2017,85.5509915271,121.59257401999999,56.2496273582
YLDs (Years Lived with Disability),Turkey,Female,Age-standardized,Alcohol use disorders,Rate,2017,60.3595502319,84.8367867034,40.975886259599996
YLDs (Years Lived with Disability),Turkey,Male,Age-standardized,Major depressive disorder,Rate,2017,346.556173075,468.75616534700004,240.65372689199998
YLDs (Years Lived with Disability),Turkey,Female,Age-standardized,Major depressive disorder,Rate,2017,612.025032606,820.915351283,423.5575822
YLDs (Years Lived with Disability),Turkey,Male,Age-standardized,Bipolar disorder,Rate,2017,153.956167371,230.57335664000001,95.3578279029
YLDs (Years Lived with Disability),Turkey,Female,Age-standardized,Bipolar disorder,Rate,2017,172.447373172,256.692692581,109.06846683500001
YLDs (Years Lived with Disability),Algeria,Male,Age-standardized,Schizophrenia,Rate,2017,120.20876036300001,151.818961361,88.7657084802
YLDs (Years Lived with Disability),Algeria,Female,Age-standardized,Schizophrenia,Rate,2017,115.71521005999999,144.816992556,82.9965806415
YLDs (Years Lived with Disability),Algeria,Male,Age-standardized,Alcohol use disorders,Rate,2017,72.8115426634,101.96556918399999,48.5242512353
YLDs (Years Lived with Disability),Algeria,Female,Age-standardized,Alcohol use disorders,Rate,2017,51.801261213400004,72.5526515447,34.6689467387
YLDs (Years Lived with Disability),Hungary,Male,Age-standardized,Schizophrenia,Rate,2017,121.721602559,154.48595904599998,89.1785800067
YLDs (Years Lived with Disability),Hungary,Female,Age-standardized,Schizophrenia,Rate,2017,123.803519849,157.326992533,89.50163504140001
YLDs (Years Lived with Disability),Hungary,Male,Age-standardized,Alcohol use disorders,Rate,2017,258.344144455,357.838633768,177.766666843
YLDs (Years Lived with Disability),Hungary,Female,Age-standardized,Alcohol use disorders,Rate,2017,139.366930691,194.543902401,95.76490491930001
YLDs (Years Lived with Disability),Hungary,Male,Age-standardized,Major depressive disorder,Rate,2017,277.397204977,375.932630045,191.624206262
YLDs (Years Lived with Disability),Hungary,Female,Age-standardized,Major depressive disorder,Rate,2017,407.934184342,557.220051976,283.364206069
YLDs (Years Lived with Disability),Hungary,Male,Age-standardized,Bipolar disorder,Rate,2017,126.094177798,187.122188454,79.1700867746
YLDs (Years Lived with Disability),Hungary,Female,Age-standardized,Bipolar disorder,Rate,2017,143.56754096400002,216.044988281,89.4245600104
YLDs (Years Lived with Disability),Vanuatu,Male,Age-standardized,Schizophrenia,Rate,2017,137.78452884499998,172.50958974899999,102.13789281400001
YLDs (Years Lived with Disability),Vanuatu,Female,Age-standardized,Schizophrenia,Rate,2017,128.72248219600002,162.32798157,94.91385138780001
YLDs (Years Lived with Disability),Vanuatu,Male,Age-standardized,Alcohol use disorders,Rate,2017,154.582960075,218.88048853300003,105.86053557800001
YLDs (Years Lived with Disability),Vanuatu,Female,Age-standardized,Alcohol use disorders,Rate,2017,80.2979924579,114.259234905,53.0795884122
YLDs (Years Lived with Disability),Vanuatu,Male,Age-standardized,Major depressive disorder,Rate,2017,303.679739122,416.23536697000003,211.08779367300002
YLDs (Years Lived with Disability),Vanuatu,Female,Age-standardized,Major depressive disorder,Rate,2017,335.434361366,456.34980439599997,234.451756091
YLDs (Years Lived with Disability),Vanuatu,Male,Age-standardized,Bipolar disorder,Rate,2017,84.7973747015,126.159871902,52.9657182336
YLDs (Years Lived with Disability),Vanuatu,Female,Age-standardized,Bipolar disorder,Rate,2017,84.6232028465,125.23947688,53.0322355895
YLDs (Years Lived with Disability),Burundi,Male,Age-standardized,Schizophrenia,Rate,2017,95.668843994,121.53862997,68.9336467797
YLDs (Years Lived with Disability),Burundi,Female,Age-standardized,Schizophrenia,Rate,2017,96.2494832852,121.226011358,69.81255847349999
YLDs (Years Lived with Disability),Burundi,Male,Age-standardized,Alcohol use disorders,Rate,2017,204.19569848600003,286.680474604,138.52597301
YLDs (Years Lived with Disability),Burundi,Female,Age-standardized,Alcohol use disorders,Rate,2017,99.7168853685,138.553355989,68.6741383759
YLDs (Years Lived with Disability),Burundi,Male,Age-standardized,Major depressive disorder,Rate,2017,421.35388453900003,568.460875416,292.031312776
YLDs (Years Lived with Disability),Burundi,Female,Age-standardized,Major depressive disorder,Rate,2017,615.742500256,849.280970223,430.146228846
YLDs (Years Lived with Disability),Burundi,Male,Age-standardized,Bipolar disorder,Rate,2017,118.125572112,175.212912364,73.7855242328
YLDs (Years Lived with Disability),Burundi,Female,Age-standardized,Bipolar disorder,Rate,2017,126.360379682,191.257333668,79.3439035752
YLDs (Years Lived with Disability),Ireland,Male,Age-standardized,Major depressive disorder,Rate,2017,391.057490482,534.297217609,267.14302750400003
YLDs (Years Lived with Disability),Ireland,Female,Age-standardized,Major depressive disorder,Rate,2017,599.598562355,824.297218985,411.357372718
YLDs (Years Lived with Disability),Ireland,Male,Age-standardized,Bipolar disorder,Rate,2017,137.390607828,207.35122274499997,86.1863282237
YLDs (Years Lived with Disability),Ireland,Female,Age-standardized,Bipolar disorder,Rate,2017,162.30576412300002,241.82542743200003,102.689201418
YLDs (Years Lived with Disability),Bolivia,Male,Age-standardized,Schizophrenia,Rate,2017,128.85685243900002,162.543067635,95.6967163253
YLDs (Years Lived with Disability),Bolivia,Female,Age-standardized,Schizophrenia,Rate,2017,111.70704345300001,140.656865244,82.2926600486
YLDs (Years Lived with Disability),Bolivia,Male,Age-standardized,Alcohol use disorders,Rate,2017,226.96363266499998,318.064164017,153.970241976
YLDs (Years Lived with Disability),Bolivia,Female,Age-standardized,Alcohol use disorders,Rate,2017,84.1297806441,117.341780275,56.450419543
