"","Country Code","Country","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Super_region","Region","NCD_region","SDI","World_bank","LocID"
"1","GBR","United Kingdom","Consumer price index (2010 = 100)","FP.CPI.TOTL",6.27328379877936,6.48955502126873,6.76188912520806,6.89838080266321,7.12475716663584,7.46487701128167,7.75672517107453,7.9492560569632,8.32266663584243,8.77597429258369,9.33470270020344,10.2163501941927,10.9387583687812,11.9446902163862,13.8610976511929,17.2164934344368,20.0674625485482,23.2462021453671,25.1670686147586,28.5448113556501,33.6731505455891,37.6723848714629,40.9117819493249,42.7975300536342,44.9205918254115,47.647898095062,49.2810819308304,51.325715738857,53.4584797484742,56.5378213427039,61.0967264656926,65.6556315886813,68.6702422785278,70.4272239689292,71.9900129461809,73.9319400776771,76.0403181061587,77.7140743480673,79.1289069724431,80.5159977806547,81.4684668022933,82.7168485296837,83.9744775291289,85.1303865359719,86.3140373589791,88.1172554096542,90.2811170704642,92.4357314592195,95.6907712224894,97.5679674496024,100,103.856112446828,106.528574070649,108.969853893102,110.551137414463,110.958017384871,112.076937303495,114.943591640466,117.579064176068,NA,"High-income","Western Europe","High-income Western countries","High SDI","HIC","826"
"2","LIC","LIC",NA,NA,6.14370208741318,7.4394186590756,7.68198438309885,1.65703137315,2.67869526118743,2.41887695771244,2.68875188556586,4.17788981491205,3.9271592494065,3.68173575927919,3.89117890659674,3.8483652362516,4.20546899477398,4.45823813732288,4.80202862820091,6.23779980282387,6.73560521879775,7.38540023019975,7.8414524163116,9.4790737060281,11.43534922176,12.8358882650626,13.7901281056979,15.2367640497178,17.5079589950062,20.0662921258836,21.6096733260741,22.8130843447944,22.2884895075258,22.5763560424257,24.0722215414396,25.6493434852169,27.887341568818,27.3599109646665,35.3204184399105,41.3227145990036,43.2611414847574,44.6024104009383,47.6681959838288,50.5951906153511,44.12741846698,54.6441402823492,58.1333499499573,62.139491613205,63.2536866841033,68.601468614914,72.8182388744257,78.8335484962311,90.4589926521171,95.4050930558139,100.259377630956,113.434013175386,127.442630302791,134.595753797103,141.282304002242,154.815205578918,171.811280227095,174.303177671354,168.327949910233,"0",NA,NA,NA,NA,NA,"UMIC"
"3","LMIC","LMIC",NA,NA,2.29799009641591,2.32309998232528,2.48515525107184,2.59681969283166,2.82120085183337,2.92495705580406,3.02144650211885,3.20907304132719,3.35242470613397,3.33836412406821,3.36690852688965,3.62401916039723,3.79261883133446,4.36397430589061,5.24134097578757,5.52967322415302,5.33143712866815,6.00406605296359,6.5720562815356,7.15706190093995,8.05185601693966,7.42471260269059,8.33255295420732,10.1959612352588,11.6003624502273,12.6481240385418,15.0013908325899,16.795780479743,18.7050657183954,20.0987745377481,21.904543717351,24.6267876996299,24.9066793002788,27.1365374022892,30.5926122699698,34.4683239724421,37.9441874245105,40.2763568549562,47.2410490215087,49.9045485746649,51.120440361254,53.7204162772779,56.3802775156514,59.2446855861113,62.4617854811011,66.4581950979492,71.1301591267736,75.674628470893,84.4045632780467,91.5657204201588,100,108.474755229067,116.899292111678,126.891570115732,136.693836742382,146.601918024689,154.689423370695,159.646153328275,165.977188163519,"0",NA,NA,NA,NA,NA,"UMIC"
"4","UMIC","UMIC",NA,NA,3.20149006324843,3.69123031522503,3.73825756150194,3.77418011392024,3.74052570018232,2.17022128983903,2.22568132469487,2.25745741141315,3.77327619803255,3.75869130748443,4.38066552193984,4.67461932296036,4.69619136074111,5.14284006503333,6.91929573381691,7.3185297860138,8.91361557693468,9.97413239711758,11.1918949521534,5.24838620215067,4.4595618448265,4.64430418865763,5.39581285492828,6.68546851529468,7.05908195710217,6.72260290954365,11.4070493967939,12.4654287570272,14.8994996627105,16.3369911982519,15.8917160539258,20.0734597088481,20.9189244879255,22.8165743608408,31.1580676555307,39.7154116082015,45.3335675047024,48.688011639898,51.5232378686904,56.4464640109275,59.5920212371364,63.5385871313323,67.6213513536,70.9139689294727,73.8915386784225,77.2146105318511,80.6534166032779,84.9658365438756,91.1387151717603,95.0838403254987,100,106.710870747054,112.231003724253,118.58638828219,126.307342927155,125.768572946733,130.861794105937,135.765299496916,134.348477801537,"0",NA,NA,NA,NA,NA,"UMIC"
"5","LIC+LMIC","LIC+LMIC",NA,NA,2.33609316405683,2.37221833194512,2.53698705504891,2.50993442894882,2.81258438752303,2.8899618597858,2.99184918158244,3.28731639870614,3.39828251886862,3.36608701767806,3.4053279549418,3.64117307618916,3.82516200304788,4.37159452408313,5.20786433419613,5.58670340974715,5.43061398801979,6.10371709707585,6.67039646810392,7.3302620408015,8.28074092889945,7.75325632064895,8.67317359394651,10.5157240753101,11.946293319848,13.0806782587011,15.4244005819745,17.1728807239068,18.9678769406742,20.2776948452269,22.0616199455925,24.7069448756577,25.0954629186278,27.151121737837,30.8179271912056,34.811958603611,38.2095926732598,40.4922868569726,47.2663039035093,49.9419072212635,50.6718890322473,53.7734339367283,56.4805872927235,59.4128029401096,62.5092266787906,66.5845395659012,71.2242450598226,75.848550894646,84.7937001229763,91.8224625308745,100.015454919021,108.770799538013,117.546151856934,127.382843345997,136.990886903265,147.131878076945,155.708674202578,160.428546963705,166.062977302097,"0",NA,NA,NA,NA,NA,"LIC+LMIC"
"6","LIC+LMIC+UMIC","LIC+LMIC+UMIC",NA,NA,2.75156780920281,2.9660872168784,3.09356075909036,3.06361623016887,3.22246065782574,2.58685527828325,2.63028916617943,2.80893117107252,3.57484273387742,3.55491053277529,3.8754372248977,4.14941680761451,4.26752774186814,4.77991005095069,6.15030333554933,6.56516199247674,7.39649225222695,8.23530692428205,9.17095529996761,6.15672778030311,5.87481412868845,5.87283852424157,6.72398921127461,8.25180364455077,8.96319134030661,9.2311433554716,12.7567585390926,14.1138558238404,16.3075074666464,17.6018446892587,17.5896218370476,21.323164517248,22.0072740416769,23.862996311913,31.0769103493217,38.5248387710987,43.5971922283083,46.7370265216622,50.5656532581476,54.8165519342094,57.3977939373785,61.1463552163455,64.7544579389044,67.9147086803443,71.0366740916727,74.6351102840817,78.3607388364182,82.7775609496228,89.7467533423216,94.3312393836003,100.003576366719,107.164509902986,113.381639496669,120.469508779479,128.638286572343,130.716299917946,136.824723831296,141.629184098644,141.512241371711,"0",NA,NA,NA,NA,NA,"LIC+LMIC+UMIC"
"7","AFG","Afghanistan","Consumer price index (2010 = 100)","FP.CPI.TOTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5233948093157,63.5233948093157,71.5821433759539,76.4387030058668,83.0740187275294,105.021064735005,97.8679108385313,100,111.804185808913,119.005731346616,127.795223073732,133.768366733582,132.883209191418,138.708665508891,145.610741438593,NA,NA,"South Asia","South Asia","South Asia","Low SDI","LIC",NA
"8","AGO","Angola","Consumer price index (2010 = 100)","FP.CPI.TOTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22008150730772e-08,4.08014979721419e-08,1.63005984545567e-07,2.41008848315838e-06,2.5300928889588e-05,0.000699937697271515,0.0297130970585906,0.094837288950553,0.19658330514343,0.684495013337209,2.90908239295018,7.34720823610933,15.3481296293837,30.4236985252629,43.67081781503,53.69480503122,60.8390116952928,68.292701659282,76.8127824283575,87.3593955494138,100,113.482467921851,125.146088077866,136.131179284704,146.042056377604,161.052326207984,213.197420100571,280.763277338802,337.450432498107,NA,"Sub-Saharan Africa","Central Sub-Saharan Africa","Sub-Saharan Africa","Low SDI","UMIC",NA
"9","ALB","Albania","Consumer price index (2010 = 100)","FP.CPI.TOTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11476319055453,16.6744052854876,30.8484420189515,37.8094092156115,40.7559791036701,45.9423721802302,61.186177324196,73.8167535553786,74.10422378836,74.1412893400533,76.4452953510446,82.3854967754163,82.7842447315689,84.671741380676,86.6755675346977,88.7304097599339,91.3325909428359,94.4042316258352,96.5107646622123,100,103.4428359317,105.549368968077,107.581662954714,109.31700074239,111.404974016333,112.825527004454,115.075186896808,117.400615256125,NA,"Central Europe, Eastern Europe, and Central Asia","Central Europe","Central and Eastern Europe","Middle SDI","UMIC",NA
"10","ARG","Argentina","Consumer price index (2010 = 100)","FP.CPI.TOTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8358,29.1359,34.248,36.7704,37.625,38.1876,38.2148,38.4963,38.8016,38.8227,38.95,39.2088,53.0335,54.9726,58.3265,65.5161,71.9617,78.0612,83.7114,90.1606,100,105.507,109.532999999999,120.604,121.398,134.668,134.668,NA,NA,NA,"High-income","Southern Latin America","Latin America and Caribbean","High-middle SDI","UMIC",NA
