"","NCD","sub_id","Intervention","Epi1","Measure1","StartAge1","StopAge1","Sex1","Adjustment1","Cost.adjustment","Traded","Unit.cost","Original.Unit.Cost","Original.Currency","Year","Country","calc_ICER","Platform","unique_id","ID","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange","exchange_end","gni","gni_selected_country","gni_adjust","tradable_ratio","tradable_uc","nontradable_uc","adjusted_uc"
"1",1.2,"a","Pulmonary rehabilitation","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.021,1.17,0,61.5186,52.58,"USD",2016,"LIC+LMIC+UMIC","yes","C","C1.2_a",1,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,8930,2.00150266534411,0,0,108.934370372945,127.453213336346
"2",3.3,"a","Cervical cancer screening and treatment","Cervical cancer","Incidence",20,"80","Female",0.236,1.42038,0.3,210.2339772,161.01,"USD",2013,"LMIC","yes","FLH","C3.3_a",2,"LMIC",2013,55,126.891570115732,159.646153328275,1.25813049032863,1.10199065936043,48.43805901,65.12156865,2080.971,8930,4.29126595228862,0.3,53.2294548190868,608.501997691977,939.910120517665
"3",3.3,"b","Cervical cancer screening and treatment","All","Population",20,"80","Female",0.2,1.2285,0.3,11.805885,9.61,"USD",2013,"LMIC","yes","HC","C3.3_b",3,"LMIC",2013,55,126.891570115732,159.646153328275,1.25813049032863,1.10199065936043,48.43805901,65.12156865,2080.971,8930,4.29126595228862,0.3,3.17703907093612,36.3188882542693,48.5207467190149
"4",3.1,"a","Medical management of ACS","Ischemic heart disease","Incidence",30,"95+","Both",1,1.17,0.3,1619.046,1383.8,"R",2005,"Brazil","yes","FLH","C3.1_a",4,"Brazil",2005,47,79.5436673306746,155.668786230018,1.957022996977,1.57941229180292,2.43439003623188,3.19138944630048,8670,8930,1.02998846597463,0.3,269.339427561069,611.81462214439,1030.95023815539
"5",3.4,"a","Asthma/COPD acute treatment","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.0855,1.42038,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_a",5,"Vietnam",2005,47,59.9258291709294,155.798794620082,2.5998604737815,1.57941229180292,15858.9166666667,22370.0866666667,2120,8930,4.2122641509434,0.3,92.3956190704709,1059.75174687849,1636.48707564659
"6",3.4,"b","Asthma/COPD acute treatment","Asthma","Prevalence",0,"95+","Both",0.13095,1.42038,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_b",6,"Vietnam",2005,47,59.9258291709294,155.798794620082,2.5998604737815,1.57941229180292,15858.9166666667,22370.0866666667,2120,8930,4.2122641509434,0.3,92.3956190704709,1059.75174687849,1636.48707564659
"7",3.2,"a","Heart failure acute treatmentC","Heart failure due to ischemic heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_a",7,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,8930,1.02998846597463,0.3,717.34927329624,2330.56424017645,3566.05881076304
"8",3.2,"b","Heart failure acute treatment","Heart failure due to myocarditis","Prevalence",0,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_b",8,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,8930,1.02998846597463,0.3,717.34927329624,2330.56424017645,3566.05881076304
"9",3.2,"c","Heart failure acute treatment","Hypertensive heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_c",9,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,8930,1.02998846597463,0.3,717.34927329624,2330.56424017645,3566.05881076304
"10",3.2,"d","Heart failure acute treatment","Alcoholic cardiomyopathy","Prevalence",15,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_d",10,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,8930,1.02998846597463,0.3,717.34927329624,2330.56424017645,3566.05881076304
