"","NCD","sub_id","Intervention","Epi1","Measure1","StartAge1","StopAge1","Sex1","Adjustment1","Cost.adjustment","Traded","Unit.cost","Original.Unit.Cost","Original.Currency","Year","Country","calc_ICER","Platform","unique_id","ID","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange","exchange_end","gni","gni_selected_country","gni_adjust","tradable_ratio","tradable_uc","nontradable_uc","adjusted_uc"
"1",1.2,"a","Pulmonary rehabilitation","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.021,1.17,0,1583,1583,"Euros",2015,"France","yes","C","C1.2_a",1,"France",2015,57,105.5790178,110.5729469,1.04730039362045,1.12304970955428,1.11,1.11,42290,500,0.0118231260345235,0,0,17.6588135876601,20.6608118975623
"2",3.3,"a","Cervical cancer screening and treatment","Cervical cancer","Incidence",20,"80","Female",0.236,1.48824,0.3,210.2339772,161.01,"USD",2013,"LMIC","yes","FLH","C3.3_a",2,"LMIC",2013,55,126.8915701,0,0,1.17952580797398,48.43805901,68.38946709,2408.93617,500,0.207560501696481,0.3,56.9746351025672,0,84.7919309450445
"3",3.3,"b","Cervical cancer screening and treatment","All","Population",20,"80","Female",0.2,1.2285,0.3,11.805885,9.61,"USD",2013,"LMIC","yes","HC","C3.3_b",3,"LMIC",2013,55,126.8915701,0,0,1.17952580797398,48.43805901,68.38946709,2408.93617,500,0.207560501696481,0.3,3.40057290438898,0,4.17760381304187
"4",3.1,"a","Medical management of ACS","Ischemic heart disease","Incidence",30,"95+","Both",1,1.17,0.3,1619.046,1383.8,"R",2005,"Brazil","yes","FLH","C3.1_a",4,"Brazil",2005,47,79.54366733,172.7742913,2.17206846376868,1.69145781711249,2.43439003623188,3.19138944630048,7850,500,0.0636942675159236,0.3,288.44671057025,41.9918897458859,386.613162369879
"5",3.4,"a","Asthma/COPD acute treatment","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.0855,1.48824,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_a",5,"Vietnam",2005,47,59.92582917,168.7837215,2.81654378150009,1.69145781711249,15858.9166666667,23208.3683333333,2660,500,0.18796992481203,0.3,98.9502823010806,49.3817451911213,220.753656594995
"6",3.4,"b","Asthma/COPD acute treatment","Asthma","Prevalence",0,"95+","Both",0.13095,1.48824,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_b",6,"Vietnam",2005,47,59.92582917,168.7837215,2.81654378150009,1.69145781711249,15858.9166666667,23208.3683333333,2660,500,0.18796992481203,0.3,98.9502823010806,49.3817451911213,220.753656594995
"7",3.2,"a","Heart failure acute treatmentC","Heart failure due to ischemic heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_a",7,"Brazil",2002,44,60.86758058,172.7742913,2.83852733513726,1.85541500350336,2.92036301775519,3.19138944630048,7850,500,0.0636942675159236,0.3,768.812543604664,159.958250550445,1086.66182916148
"8",3.2,"b","Heart failure acute treatment","Heart failure due to myocarditis","Prevalence",0,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_b",8,"Brazil",2002,44,60.86758058,172.7742913,2.83852733513726,1.85541500350336,2.92036301775519,3.19138944630048,7850,500,0.0636942675159236,0.3,768.812543604664,159.958250550445,1086.66182916148
"9",3.2,"c","Heart failure acute treatment","Hypertensive heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_c",9,"Brazil",2002,44,60.86758058,172.7742913,2.83852733513726,1.85541500350336,2.92036301775519,3.19138944630048,7850,500,0.0636942675159236,0.3,768.812543604664,159.958250550445,1086.66182916148
"10",3.2,"d","Heart failure acute treatment","Alcoholic cardiomyopathy","Prevalence",15,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_d",10,"Brazil",2002,44,60.86758058,172.7742913,2.83852733513726,1.85541500350336,2.92036301775519,3.19138944630048,7850,500,0.0636942675159236,0.3,768.812543604664,159.958250550445,1086.66182916148
"11",3.2,"e","Heart failure acute treatment","Other cardiomyopathy","Prevalence",0,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_e",11,"Brazil",2002,44,60.86758058,172.7742913,2.83852733513726,1.85541500350336,2.92036301775519,3.19138944630048,7850,500,0.0636942675159236,0.3,768.812543604664,159.958250550445,1086.66182916148
"12",2.4,"a","CVD primary prevention","All","Population",30,"95+","Both",1,1.17,0.3,1.17,1,"USD",2012,"South Africa","yes","C","C2.4_a",12,"South Africa",2012,54,111.0282807,164.0515915,1.47756580995134,1.22346699737307,8.20996862659331,16.4591053903333,5410,500,0.0924214417744917,0.3,0.36704009921192,0.0476818265815515,0.485224653178361
"13",2.4,"b","CVD primary prevention","All","Population",30,"95+","Both",0.05,1.25658,0.15,22.567545,18.37,"USD",2012,"Tanzania","yes","HC","C2.4_b",13,"Tanzania",2012,54,130.7227573,193.5971559,1.48097515611385,1.22346699737307,1571.69799856913,2294.14615050509,1080,500,0.462962962962963,0.15,3.37126331126148,7.33449340822001,13.4526397785661
