"","NCD","sub_id","Intervention","Epi1","Measure1","StartAge1","StopAge1","Sex1","Adjustment1","Cost.adjustment","Traded","Unit.cost","Original.Unit.Cost","Original.Currency","Year","Country","calc_ICER","Platform","unique_id","ID","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange","exchange_end","gni","gni_selected_country","gni_adjust","tradable_ratio","tradable_uc","nontradable_uc","adjusted_uc"
"1",1.2,"a","Pulmonary rehabilitation","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.021,1.17,0,61.5186,52.58,"USD",2016,"LIC+LMIC+UMIC","yes","C","C1.2_a",1,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,0,0,9.271010244506,10.847081986072
"2",3.3,"a","Cervical cancer screening and treatment","Cervical cancer","Incidence",20,"80","Female",0.236,1.42038,0.3,210.2339772,161.01,"USD",2013,"LMIC","yes","FLH","C3.3_a",2,"LMIC",2013,55,126.891570115732,159.646153328275,1.25813049032863,1.10199065936043,48.43805901,65.12156865,2080.971,760,0.365214123599031,0.3,53.2294548190868,51.7874040588917,149.163846013103
"3",3.3,"b","Cervical cancer screening and treatment","All","Population",20,"80","Female",0.2,1.2285,0.3,11.805885,9.61,"USD",2013,"LMIC","yes","HC","C3.3_b",3,"LMIC",2013,55,126.891570115732,159.646153328275,1.25813049032863,1.10199065936043,48.43805901,65.12156865,2080.971,760,0.365214123599031,0.3,3.17703907093612,3.0909692131293,7.70024817697437
"4",3.1,"a","Medical management of ACS","Ischemic heart disease","Incidence",30,"95+","Both",1,1.17,0.3,1619.046,1383.8,"R",2005,"Brazil","yes","FLH","C3.1_a",4,"Brazil",2005,47,79.5436673306746,155.668786230018,1.957022996977,1.57941229180292,2.43439003623188,3.19138944630048,8670,760,0.0876585928489043,0.3,269.339427561069,52.0693295442034,376.048245813169
"5",3.4,"a","Asthma/COPD acute treatment","Chronic obstructive pulmonary disease","Prevalence",30,"95+","Both",0.0855,1.42038,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_a",5,"Vietnam",2005,47,59.9258291709294,155.798794620082,2.5998604737815,1.57941229180292,15858.9166666667,22370.0866666667,2120,760,0.358490566037736,0.3,92.3956190704709,90.1916380322121,259.343288243509
"6",3.4,"b","Asthma/COPD acute treatment","Asthma","Prevalence",0,"95+","Both",0.13095,1.42038,0.3,254.6154,195,"USD",2005,"Vietnam","yes","FLH","C3.4_b",6,"Vietnam",2005,47,59.9258291709294,155.798794620082,2.5998604737815,1.57941229180292,15858.9166666667,22370.0866666667,2120,760,0.358490566037736,0.3,92.3956190704709,90.1916380322121,259.343288243509
"7",3.2,"a","Heart failure acute treatmentC","Heart failure due to ischemic heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_a",7,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,760,0.0876585928489043,0.3,717.34927329624,198.345892780974,1071.36334431034
"8",3.2,"b","Heart failure acute treatment","Heart failure due to myocarditis","Prevalence",0,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_b",8,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,760,0.0876585928489043,0.3,717.34927329624,198.345892780974,1071.36334431034
"9",3.2,"c","Heart failure acute treatment","Hypertensive heart disease","Prevalence",30,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_c",9,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,760,0.0876585928489043,0.3,717.34927329624,198.345892780974,1071.36334431034
"10",3.2,"d","Heart failure acute treatment","Alcoholic cardiomyopathy","Prevalence",15,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_d",10,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,760,0.0876585928489043,0.3,717.34927329624,198.345892780974,1071.36334431034
"11",3.2,"e","Heart failure acute treatment","Other cardiomyopathy","Prevalence",0,"95+","Both",0.5,1.17,0.3,4719.3354,4033.62,"R",2002,"Brazil","yes","FLH","C3.2_e",11,"Brazil",2002,44,60.8675805806435,155.668786230018,2.55749916039085,1.73121603633783,2.92036301775519,3.19138944630048,8670,760,0.0876585928489043,0.3,717.34927329624,198.345892780974,1071.36334431034
"12",2.4,"a","CVD primary prevention","All","Population",30,"95+","Both",1,1.17,0.3,1.17,1,"USD",2012,"South Africa","yes","C","C2.4_a",12,"South Africa",2012,54,111.028280676843,146.053721453082,1.31546413726953,1.14338703244806,8.20996862659331,13.3337814606369,5410,760,0.140480591497227,0.3,0.343016109734419,0.0796492231967962,0.494518439529521
"13",2.4,"b","CVD primary prevention","All","Population",30,"95+","Both",0.05,1.25073,0.15,22.567545,18.37,"USD",2012,"Tanzania","yes","HC","C2.4_b",13,"Tanzania",2012,54,130.722757255987,175.03783564472,1.33900048712982,1.14338703244806,1571.69799856913,2228.85762899348,970,760,0.783505154639175,0.15,3.15060296791064,11.5514751159894,18.3883301218763
"14",2.4,"c","CVD primary prevention","All","Population",30,"95+","Both",0.05,1.25073,1,23.378355,19.03,"USD",2016,"LIC+LMIC+UMIC","yes","HC","C2.4_c",14,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,1,19.716042589199,0,24.6594459475888
"15",2.4,"d","CVD primary prevention","All","Population",30,"95+","Both",0.014,1.25073,0.15,35.60193,28.98,"USD",2012,"Tanzania","yes","HC","C2.4_d",15,"Tanzania",2012,54,130.722757255987,175.03783564472,1.33900048712982,1.14338703244806,1571.69799856913,2228.85762899348,970,760,0.783505154639175,0.15,4.97030343005173,18.2232851857035,29.0089170893835
"16",2.4,"e","CVD primary prevention","All","Population",30,"95+","Both",0.014,1.25073,1,23.378355,19.03,"USD",2016,"LIC+LMIC+UMIC","yes","HC","C2.4_e",16,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,1,19.716042589199,0,24.6594459475888
"17",2.14,"a","Asthma/COPD chronic treatment","Chronic obstructive pulmonary disease","Prevalence",0,"95+","Both",0.33,1.25073,0.52,30.34395,24.7,"USD",2016,"LIC+LMIC+UMIC","yes","HC","C2.14_a",17,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,0.52,13.3070336844809,2.09047351576385,19.2581241805621
"18",2.14,"b","Asthma/COPD chronic treatment","Asthma","Prevalence",0,"95+","Both",1,1.25073,0.52,30.34395,24.7,"USD",2016,"LIC+LMIC+UMIC","yes","HC","C2.14_b",18,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,0.52,13.3070336844809,2.09047351576385,19.2581241805621
"19",2.5,"a","Aspirin for suspected ACS","All","Population",40,"95+","Both",0.005,1.25073,0.02,1.339065,1.09,"USD",2016,"LIC+LMIC+UMIC","yes","HC","C2.5_a",19,"LIC+LMIC+UMIC",2016,58,136.824723831296,141.629184098644,1.03511397745097,1.03605058272196,NA,NA,4461.64781822296,760,0.170340652369712,0.02,0.0225859027033388,0.188347149927374,0.263820296916811
"20",2.3,"a","CKD screening/treatment","Diabetes mellitus type 2","Prevalence",0,"95+","Both",1,1.25073,0.3,88.452,72,"Yuan",2016,"China","yes","HC","C2.3_a",20,"China",2016,58,117.220567045682,119.088051569694,1.01593137254902,1.03605058272196,6.6444778294468,6.75875508633597,8650,760,0.0878612716763006,0.3,3.36801373429485,0.665618959093007,5.04498541860099
