"","Code","volume_per1e5pop","Intervention"
"1",1.2,967.457728490649,"Pulmonary rehabilitation"
"2",2.14,105530.42207253,"Asthma/COPD chronic treatment"
"3",2.3,124257.037961432,"Diabetes screening/treatment"
"4",2.4,77313.8034993061,"CVD primary prevention"
"5",2.5,4147.18151402223,"Aspirin for suspected ACS"
"6",2.6,68290.0151736721,"CVD secondary prevention"
"7",2.7,10994.7020749346,"Heart failure chronic treatment"
"8",3.1,7118.09494067962,"Medical management of ACS"
"9",3.2,5250.60941242058,"Heart failure acute treatment"
"10",3.3,26.6352975942042,"Early-stage cervical cancer screening/treatment"
"11",3.4,14224.3246891012,"Asthma/COPD acute treatment"
"12",4.1,1173.82462216017,"PCI for ACS"
"13",4.2,761.304952584241,"Management of acute ventilatory failure"
"14",4.3,65.3814151894696,"Treatment of early-stage breast cancer"
"15",4.4,56.538815281918,"Treatment of early-stage colorectal cancer"
